试卷类别,Egs对应标签题型,题型,基本题型,Directions材料题干,选项与解析,正确答案解析,选项是否随机出现,是否依赖上级父题目,子题目是否可以随机出现
"大学英语六级","词汇","Multiple Choice","选择题","<br />I went to the photo shop to have my photos _______________ to cover my walls at home.<br />","enlarged_|_adjusted_|_adopted_|_afforded,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I've looked ________ all my papers but I still can't find the contract.<br />","upon_|_out_|_through_|_in,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I have no objection _____ the evening with them.<br />","to spend_|_to spending_|_of spending_|_spending,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Realizing that he hadn't enough money and ________ to borrow from his father, he decided to sell his watch.<br />","not wanted_|_not to want _|_not wanting_|_wanting not ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p style=""text-align: justify"">&mdash;What a beautiful day!<br />&mdash;Yes, it's _______ that I'd like to take a walk.</p>","such nice weather_|_too nice weather _|_so nice weather_|_nice weather so ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Mrs. Lindon has _______ that she is unable to get a job.<br />","such small education_|_so little education _|_a such little education_|_a so small education ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>Mary has done very well, _______ she has only one year of experience in teaching.<br />&nbsp;</p>","considering that_|_in that _|_as soon as_|_for that ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />You can fly to London this evening _______ you don't mind changing planes in Paris.<br />","provided_|_unless_|_except_|_as soon as ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I'd like to take __________ of this opportunity to thank all of you for your efforts.<br />","profit_|_benefit_|_occasion_|_advantage,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />When doing the wash, it is important to _______ white and colored clothing.<br />","compare_|_separate_|_establish_|_contrast,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We finally __________ an agreement after a lot of hard argument.<br />","reached_|_did_|_arrived_|_drove,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>Though he was born and brought up in America, he can speak ________&nbsp;Chinese.&nbsp;</p>","fluid_|_smooth_|_fluent_|_flowing,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>He lost control of his car at the first bend and __________ into a tree.&nbsp;</p>","crashed_|_drove_|_smashed_|_swayed,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>She was __________ from her poor factory job by a movie director searching for new talent.&nbsp;</p>","employed_|_rescued_|_healed_|_exposed,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>Could you __________ the lamp in the bedroom, please?&nbsp;</p>","get out_|_put in_|_get in_|_put out,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>His answer was so confused that I could hardly make any ________ of it&nbsp; at all.&nbsp;</p>","interpretation 
  _|_meaning
_|_reason_|_sense,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>All this shows that tax (税) on food has become a real ________.&nbsp;&nbsp;</p>","possibility_|_chance_|_approach_|_way,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />In preparing scientific reports of laboratory experiments, a student should ______ his results in logical order and clear language.<br />","perceive_|_protest_|_raise_|_present,3","","0","0","2"
"大学英语四级+大学英语六级","语法","Multiple Choice","选择题","<p class=""p0"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify"">Some&nbsp;________&nbsp;were&nbsp;seen&nbsp;loafing&nbsp;in&nbsp;the&nbsp;street.</p><!--EndFragment-->","youth_|_few youth_|_more youth_|_youths,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />While she waited, she tried to __________ her mind with pleasant thoughts of the vacation.<br />","occupy_|_compose_|_think_|_intensify,0","","0","0","2"
"英语专业四级","词汇与语法","Multiple Choice","选择题","Small as the room is, it is comfortable ________.","to live     _|_to live in    _|_living in     _|_live in ,1","动词不定式做定语，与其所修饰的词有动宾关系。如果该不定式是不及物动词，其后应有合适的介词。 ","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The book offers some advice about how to make a good ________ at job interviews.<br />","attitude _|_appearance _|_effect _|_impression ,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />If the world is to remain peaceful the utmost effort must be made by nations to limit local ________.<br />&nbsp;</p>","collisions _|_combats _|_contradictions _|_conflicts,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />The match was canceled because most of the members ________ a match without a standard court.<br />","were objected to having _|_were objected to have_|_objected to having _|_objected to have,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We must ________ our attention on the question of reducing our cost.<br />","pay _|_focus _|_absorb _|_promote ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />____________ at the price list, he'd have known what would happen in the end.<br />","Had Mr. Robinson looked_|_For Mr. Robinson looked 
_|_Have Mr. Robinson looked_|_Before Mr. Robinson looked 
,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />The branches could hardly ________ the weight of the fruit.<br />","remain _|_maintain _|_sustain _|_retain,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />John ________ that his daughter write and accept the post.<br />","urged _|_swore _|_doubted _|_supposed,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />It took us only a few hours to ________ the paper off all four walls.<br />","chip _|_fear _|_stroke _|_scrape,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />However, at times this balance in nature is ________, resulting in a number of possible unforeseen effects.<br />&nbsp;</p>","troubled _|_disturbed _|_confused _|_puzzled,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Having finished their morning work, the clerks stood up behind their desks, ________ themselves.<br />&nbsp;</p>","stretching _|_extending _|_prolonging _|_expanding,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","Few of the students understand why language is _______ to human beings.","aware_|_unique _|_absolute _|_continual,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The method he used turned out to be _______ in improving the students' English.<br />","effective_|_able_|_capable_|_explicit,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","The police searched the city in an effort to catch the man who ______ murder last week.","limited _|_made _|_did _|_committed ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","They had to examine the dead tiger before they had a _______ answer as to who killed it.","positive _|_senior _|_virtual _|_vital ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","He could be ________ about everything else in the world, but not about Manet, his loving child.","visual _|_critical _|_favorite _|_essential,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Measures had to be taken in face of the housing problem that ________ in the city.<br />","rose _|_raised _|_arose _|_produced  ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","By the side of the new teaching hall _________ , built in the 1930s.","there stands a library _|_stands a library_|_a library stands _|_does a library stand,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />No matter what you say, I'm coming ________.<br />","anyway _|_any way _|_in a way _|_in the way,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","I got a little ________ when I learned that the appointment with the general manager was changed to another time.","concerned _|_distracted _|_upset _|_awful,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","Our neighbour said that if we made more noise he would _______ us to the police.","inform of_|_complain about _|_report to _|_care for,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","She __________ him to help her to find answers to her problems.","learned from _|_came into _|_leaned on _|_looked at  ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />People working in the government should not ______ business affairs that might change their political judgement.<br />","engage in _|_hope for _|_choose between _|_pick on,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","The large wings of that bird _________ it to fly very high and fast.","make _|_enable _|_force _|_realize  ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","Twenty years ago it was common to see people _________ from hunger on the streets in that poor nation, but clearly the situation has improved greatly since then.","calling_|_preventing _|_resulting _|_collapsing,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","After a long period of regular exercise, I now _____ much less than I used to.","weigh _|_like _|_grow _|_increase ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","She had to __________ several times a night when her baby was ill.","call out _|_get ahead _|_wake up _|_come to ,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","Their economical action ________ the fall of the government.","advanced_|_fastened_|_accelerated_|_promoted,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>Over a third of the population was estimated to have no _________ to the health service.</p>","assessment_|_assignment_|_exception_|_access,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>I'd _________ his reputation with other farmers and bussiness people in the community, and then make a decision about whether or not to approve a loan.</p>","take into account_|_account for_|_make up for_|_make out,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","The soldier was _________ of running away when the enemy attacked.","scolded_|_charged_|_accused_|_punished,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>In the past grandfather ________ taking a short walk before dinner.</p>","am used to_|_used to_|_was accustomed to_|_was familiar to,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","Only a few people have _________ to the full facts of the incident.","access_|_resort_|_contact_|_path,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>British government often says that furnishing children with _________ to the information superhighway is a top priority.</p>","procedure_|_protection_|_allowance_|_access,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","The shop assistant was dismissed as she was _________ of cheating customers.","accused_|_charged_|_scolded_|_cursed,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He looked ________ the pile, trying to decide which one to pick.<br />","upon_|_out_|_through_|_in,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Professor Hawing is ________ as one of the world's greatest living physicists.<br />","dignified_|_clarified_|_ackonwledged_|_illustrated,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The ________ amount of money was not known though we knew that it was large.<br />&nbsp;</p>","real_|_actual_|_apparent_|_genuine,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Although most birds have only a negligible sense of smell, they have ________ vision.<br />","vigorous_|_exact_|_acute_|_vivid,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />&nbsp;</p><div align=""left"">&nbsp; The newcomers found it impossible to ________ themselves to the climate sufficiently to make permanent homes in the new country.</div>","suit_|_adapt_|_regulate _|_coordinate,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p style=""text-align: justify""><br />&nbsp; Although he has looked through all the reference material on the subject, he still found it hard to understand this point and her explanation ________ only to his confusion.</p>","extended _|_amounted _|_added_|_turned,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>Research universities have to keep up with the latest computer and scientific hardware ________ price.<br />&nbsp;</p>","on account of _|_regardless of _|_in addition to _|_not to mention,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />It was in the United States that I made the _______ of Professor Jones.<br />","acquaintance _|_associate _|_recognition _|_acknowledgement,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>If people feel hopeless, they don't bother to ________ the skills they need to succeed.</p>","adopt _|_acquire _|_accumulate _|_assemble,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<div align=""left"">By law, when one makes a large purchase, he should have ________ opportunity to change his mind.</div>","accurate _|_urgent _|_adequate _|_excessive,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<div align=""left"">Tom's camera can be ________ to take pictures in different conditions.</div>","treated _|_adjusted _|_adopted _|_remedied,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />The old couple decided to ________ a boy and a girl though they had three of their own.<br />&nbsp;</p>","adapt _|_bring _|_receive _|_adopt,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>I don't think it advisable that Tom ________ to the job since he has no experience.</p>","is assigned _|_will be assigned _|_be assigned _|_has been assigned,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />&nbsp; If the test taker finds an item to which an answer is not known, it may be ________ to leave it blank and go on with the test.<br />&nbsp;</p>","valuable _|_probable _|_advisable _|_considerable,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />I am pleased to ________ that the Board has agreed to create 500 new jobs in our sales division.<br />&nbsp;</p>","analyse _|_publish _|_anticipate _|_announce,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The doctors don't ________ that he will live much longer.<br />&nbsp;</p>","manifest _|_articulate _|_anticipate _|_monitor,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Floods cause billions of dollars worth of property damage ________.<br />","relatively _|_actually _|_annually _|_comparatively,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The doctor's report removed all their ________.<br />&nbsp;</p>","concer_|_anxieties_|_complaints _|_careness,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Although they plant trees in this area every year, the tops of some hills are still ________.<br />&nbsp;</p>","blank _|_hollow _|_vacant _|_bare,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Some people would like to do shopping on Sundays since they expect to pick up wonderful ________ in the market.<br />&nbsp;</p>","batteries _|_bargains _|_baskets _|_barrels,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />The professor could hardly find sufficient grounds ________ his arguments in favor of the new theory.<br />&nbsp;</p>","on which to base _|_which to base on _|_to base on _|_to be based on,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />&nbsp; Many people think of desert as ________ regions, but numerous species of plants and animals have adapted to life there.<br />&nbsp;</p>","void _|_virgin _|_barren _|_wretched,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Deserts and high mountains have always been a ________ to the movement of people from place to place.<br />&nbsp;</p>","barrier _|_fence _|_prevention _|_jam,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />________ it or not, his discovery has created a stir in scientific circles.<br />","Believe _|_To believe _|_Believing _|_Believed,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />The candidate is speaking on ________ of his party.<br />","behave _|_belief _|_behalf _|_before,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />I have ________ in the fundamental goodness of human nature.<br />","believe _|_believed _|_belief _|_believes,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Not only the professionals but also the amateurs will ________ from the new training facilities.<br />&nbsp;</p>","benefit _|_derive _|_reward _|_acquire,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />She ________ that they would arrive at 8:00 am.<br />&nbsp;</p>","counted _|_calculated _|_accounted _|_figured,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />A well-written composition ________ good choice of words and clear organization among other things.<br />&nbsp;</p>","calls on _|_calls for _|_calls up _|_calls off,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />As we can no longer wait for the delivery of our order, we have to ________ it.<br />","delay _|_refuse _|_cancel _|_postpone,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />All flights ________ because of the snowstorm, many passengers could do nothing but take the train.<br />&nbsp;</p>","had been canceled _|_have been canceled _|_were canceled _|_having been canceled,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Housewives who do not go out to work feel they are not working to their full ________.<br />","capacity _|_strength _|_length _|_possibility,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />We have planned an exciting publicity ________ with our advertisers.<br />","struggle _|_campaign _|_battle _|_conflict,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />None of us like to live on ________.<br />","charity _|_kindness _|_sympathy _|_forgiveness,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />She was complaining that the doctor was ________ too much for the treatment he was giving her.<br />&nbsp;</p>","expending _|_offering _|_costing _|_charging,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />The travel company had ________ two aircraft for our holiday flights.<br />","tented _|_leased _|_chartered _|_let,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />The giraffe is ________ by its very long neck.<br />","typical _|_featured _|_characteristics _|_characterized,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />This hotel ________ $60 for a single room with bath.<br />","claims _|_demands _|_prices _|_charges,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Passengers should ________ for flight 122 to Beijing.<br />","check in _|_check on _|_check over _|_check up,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />&nbsp;That was so serious a matter that I has no choice but ________ the police.<br />","called in _|_calling in _|_call in_|_to call in,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Unemployment was the ________ cause of poverty during the 1930s.<br />","chief _|_cheerful _|_chorus _|_chill,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />She had to ________ between giving up her job or hiring a nanny.<br />","clarify _|_classify _|_distinguish _|_choose,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />She choked to death ________ a fish bone.<br />","at_|_by_|_on _|_of,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>A long-term study ________ by the medical school shows that babies of smoking mothers will be less healthy than those of nonsmoking mothers.<br />&nbsp;</p>","conducted _|_performed _|_undergone _|_managed,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />The man in the corner confessed to ________ a lie to the manager of the company.<br />","have told _|_be told _|_being told _|_having told,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />We need a chairman ________.<br />","for whom everyone has confidence _|_in whom everyone has confidence_|_who everyone has confidence of _|_whom everyone has confidence on,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Edward is certainly confident ________ his future success.<br />","of_|_in_|_with_|_to,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />A good citizen is expected to ________ to the law of his country.<br />","confront _|_comply _|_conform _|_confirm,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The captive was ________ in a dungeon.<br />&nbsp;</p>","restricted _|_controlled _|_restrained _|_confined,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>A season ticket _______the holder to make as many journeys as he wishes&nbsp;within the stated period of time.&nbsp;</p>","entitles _|_grants_|_presents_|_promises,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>Female socialization places importance on getting along with others, ________ male socialization places importance on becoming independent.&nbsp;</p>","when _|_while_|_instead_|_therefore,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The age ________ of the study population will greatly influence the&nbsp;final result.&nbsp;</p>","barrier_|_position_|_distance_|_range,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>Edwina's office faced south and had a(n) ________ of the lake.&nbsp;</p>","sight_|_look_|_impression_|_view,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The movement and noise of the machines ________ him completely.&nbsp;</p>","reacted_|_hold _|_noticed_|_absorbed,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>Given the general ________ of his health, it may take him a while to&nbsp;recover from the operation.&nbsp;</p>","function_|_situation_|_manner_|_state,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>To secure our future, we need a(n) ________ economic strategy.&nbsp;</p>","consistent_|_obvious_|_interested_|_huge,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />______ they reached the center of the city, they stopped the car at a restaurant.<br />","Before a mile or so when_|_For a mile or so after_|_Further than a mile or so_|_A mile or so before ,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />We can accept your order ________ payment is made in advance.<br />","in the belief that _|_in order that _|_on the excuse that _|_on condition that,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p>The history teacher told us, &quot;Every government that refuses to meet the needs of its people must accept the ______.&quot;</p>","outcome _|_consequences _|_endings _|_results,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p style=""text-align: justify"">&nbsp;Although Asian countries are generally more _________ in social customs than Western countries, there have been several notable examples of women leaders in both China and India.</p>","conservative _|_confidential _|_comprehensive _|_consistent,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Writing is a slow process, requiring _________ thought, time and effort.<br />","significant _|_considerable _|_enormous _|_numerous,1","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />It is our _________ policy that we will achieve unity through peaceful means.<br />","consistent _|_continuous _|_considerate _|_continual,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />It's very _________ of you not to talk aloud while the baby is asleep.<br />&nbsp;</p>","concerned _|_careful _|_considerable _|_considerate,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Our journey was slow because the train stopped ________ at different villages.<br />","unceasingly _|_gradually _|_continuously _|_continually,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Young people are not ________ to stand and look at works of art; they want art they can participate in.<br />&nbsp;</p>","content _|_generous _|_confident _|_conservative,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />My mother opened the packet and emptied its ________ into saucepan.<br />","contends _|_consents _|_contexts _|_contents,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />If Henry wants some information, please contact ________.<br />","on me _|_to me _|_with me _|_me,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />In Britain people ________ four million tons of potatoes every year.<br />","swallow _|_dispose _|_consume _|_exhaust,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Please ________ dictionaries when you are not sure of word spelling or meaning.<br />","seek _|_inquire _|_search _|_consult,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />&nbsp; The secret agent concealed her real mission, therefore many local people were ________ into thinking that she was a good person.<br />&nbsp;</p>","betrayed _|_driven _|_deceived _|_convinced,2","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />This movie is not ________ for children to see: it contains too much violence and too many love scenes.<br />&nbsp;</p>","profound _|_valid _|_upright _|_decent,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />&nbsp;Last year, the crime rate in Chicago has sharply ________.<br />","declined _|_lessened _|_descended _|_slipped,0","","0","0","2"
